MDID,SEDOL,ISIN,SecurityCode,CUSIP,Ticker,AssetType,AssetSubType,ShareClass,SecurityName,Price,AssetCurrency,CountryOfIssue,CountryOfIncorporation,HomeMemeberState,HomeMemeberStateDR,HomeMemeberStateSSR,MarketsListedIn,StockExchange,IndustryGroupId,TotalSharesOutstanding,TotalSharesIssued,TotalSharesTreasury,TotalVotingSharesIssued,TotalVotingSharesOutstanding,TotalVotingRightsIssued,TotalVotingRightsOutstanding,TotalDilutedShares,ClassSharesOutstanding,ClassSharesIssued,ClassSharesTreasury,ClassVotingSharesIssued,ClassVotingSharesOutstanding,ClassVotingRightsIssued,ClassVotingRightsOutstanding,VotesPerShare,ClassDebtOutstanding,TotalDebtOutstanding,TotalIssuedNominalCapital,RegisteredShareCapital,13FFlag,ShortSellFlag,TakeoverFlag,CallOrPut,ConvertibleFlag,ConversionRatioBond,ConversionRatioRights,ConversionRatioPreferredEquity,ConversionRatioWarrants,ContractSize,Delta,AssetRatioAgainst,AssetRatioFor,UnderlyingMDID,UnderlyingExchangeCode,UnderlyingISIN,UnderlyingSEDOL,IsCashSettled,MaturityDate,OptionNextExerciseDate,ExerciseStyle,ExpirationDate,Notional,ParValue,DurationAdjustment,InControlOfConversion,IsCoveredConvertible,IsCoveredWarrant,IsETF,IsGovernmentBacked,IsREIT,IsWhenIssued,IsConvertiblePreferred,LotSize,HasAlternateUSSection12Registration,IssuerID,IssuerName,RegistrationType,RegistrationNo,AddressLine1,AddressLine2,AddressLine3,Telephone,Fax,ContactName,Designation,ContactEmail,ContactNo,ContactFaxNo,TypeOfIssuer,StrikePrice,FIGINumber
CA0679011084 CA,,CA0679011084,,067901108,ABX,Common Stock,ODSH,,Barrick Gold Corp,,CAD,CA,CA,,,,,TOR,0,1748049000,1748049000,0,1748049000,1748049000,1748048766,1748048766,1755000000,1748049000,1735366000,0,1748049000,1748049000,1748049000,1748049000,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100055,Barrick Gold Corp,,,,,,,,,,,,,,,
CA13321L1085 CA,,CA13321L1085,,13321L108,CCO,Common Stock,ODSH,,Cameco Corp,,CAD,CA,CA,,,,,TOR,0,435184600,435184600,0,435184600,435184600,435184572,435184572,435355000,435185000,434124800,0,435185000,435185000,435185000,435185000,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,108613,Cameco Corp,,,,,,,,,,,,,,,
CA14071L1085 CA,,CA14071L1085,,14071L108,CS,Common Stock,ODSH,,Capstone Copper Corp,,CAD,CA,CA,,,,,TOR,0,761872900,761872900,0,761872900,761872900,761872863,761872863,693521000,761873000,641572600,0,761873000,761873000,761873000,761873000,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69850653,Capstone Copper Corp,,,,,,,,,,,,,,,
CA3518581051 CA,,CA3518581051,,351858105,FNV,Common Stock,ODSH,,Franco-Nevada Corp,,CAD,CA,CA,,,,,TOR,0,192492800,192492800,0,192492800,192492800,192492761,192492761,192300000,192493000,190958900,0,192493000,192493000,192493000,192493000,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13418315,Franco-Nevada Corp,,,,,,,,,,,,,,,
CA5503721063 CA,,CA5503721063,,550372106,LUN,Common Stock,ODSH,,Lundin Mining Corp,,CAD,CA,CA,,,,,TOR,0,776877000,776877000,0,776877000,776877000,776876973,776876973,773293000,776877000,651508400,0,776877000,776877000,776877000,776877000,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,159117,Lundin Mining Corp,,,,,,,,,,,,,,,
CA65340P1062 CA,,CA65340P1062,,65340P106,NXE,Common Stock,ODSH,,NexGen Energy Ltd,,CAD,CA,CA,,,,,TOR,0,564995600,564995600,0,564995600,564995600,564995597,564995597,529215000,564996000,520080700,0,564996000,564996000,564996000,564996000,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31552720,NexGen Energy Ltd,,,,,,,,,,,,,,,
CA8787422044 CA,,CA8787422044,,878742204,TECK/B,Common Stock,ODSH,,Teck Resources Ltd,,CAD,CA,CA,,,,,TOR,0,513732099,513732099,0,513732099,513732099,1266085697,1266085697,525299999,506132000,499717200,0,506132000,506132000,506132000,506132000,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110686,Teck Resources Ltd,,,,,,,,,,,,,,,
CNE1000002R0 CN,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CNE1000004Q8 CN,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CNE100000502 CN,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
