RuleId,RootId,PrevId,SysID,RuleCode,StockExchangeId,DisclosureLevelId,RepEntityId,EntityId,RuleBasisId,RuleTypeId,RuleCategoryId,RuleNumeratorTypeId,TriggerRate,TriggerMin,TriggerMax,MinLong,MinCap,RateNumerator,RateDenominator,IndustryGroupId,SpecialConditionId,TransactionalReportFlag,Remark,RuleStateId,ApprovedDate,LastRejectedDT,LastRejectedBy,ReviewComment,EffectiveDate,Active,CreatedDT,CreatedBy,ModifiedDT,ModifiedBy,CountryCode,UploadRuleFileId
,,,DE0023,DESSN003,,2,1,,1,51,4,1,0.0010,0.0000,0.0010,,,0.1,100,0,0,0,0,1,2019-11-12 15:52:00,,,,2019-11-12 15:52:00,1,,,,,DE,
,,,DE0024,DESSN004,,2,1,,1,1,4,1,0.0050,0.0050,1.0000,,,0.5,100,0,0,0,0,1,2019-11-12 15:52:00,,,,2019-11-12 15:52:00,1,,,,,DE,
,,,DE0025,DESSN005,,2,1,,1,21,4,1,0.0010,0.0050,1.0000,,,0.1,100,0,0,0,0,1,2019-11-12 15:52:00,,,,2019-11-12 15:52:00,1,,,,,DE,
,,,DE0026,DESSN006,,2,1,,1,51,4,1,0.0050,0.0000,0.0050,,,0.5,100,0,0,0,0,1,2019-11-12 15:52:00,,,,2019-11-12 15:52:00,1,,,,,DE,
,,,ES001,ESSSD001,,1,1,,9,1,1,1,0.0300,0.0300,1.0000,,,3,100,0,0,0,0,1,2019-11-12 15:52:00,,,,2019-11-12 15:52:00,1,,,,,ES,
,,,ES002,ESSSD002,,1,1,,9,22,1,1,0.0500,0.0300,0.1000,,,5,100,0,0,0,0,1,2019-11-12 15:52:00,,,,2019-11-12 15:52:00,1,,,,,ES,
,,,ES003,ESSSD003,,1,1,,9,22,1,1,0.1000,0.0500,0.1500,,,10,100,0,0,0,0,1,2019-11-12 15:52:00,,,,2019-11-12 15:52:00,1,,,,,ES,
,,,ES004,ESSSD004,,1,1,,9,22,1,1,0.1500,0.1000,0.2000,,,15,100,0,0,0,0,1,2019-11-12 15:52:00,,,,2019-11-12 15:52:00,1,,,,,ES,
,,,ES005,ESSSD005,,1,1,,9,22,1,1,0.2000,0.1500,0.2500,,,20,100,0,0,0,0,1,2019-11-12 15:52:00,,,,2019-11-12 15:52:00,1,,,,,ES,
,,,ES006,ESSSD006,,1,1,,9,22,1,1,0.2500,0.2000,0.3000,,,25,100,0,0,0,0,1,2019-11-12 15:52:00,,,,2019-11-12 15:52:00,1,,,,,ES,
,,,ES007,ESSSD007,,1,1,,9,22,1,1,0.3000,0.2500,0.3500,,,30,100,0,0,0,0,1,2019-11-12 15:52:00,,,,2019-11-12 15:52:00,1,,,,,ES,
,,,ES008,ESSSD008,,1,1,,9,22,1,1,0.3500,0.3000,0.4000,,,35,100,0,0,0,0,1,2019-11-12 15:52:00,,,,2019-11-12 15:52:00,1,,,,,ES,
,,,ES009,ESSSD009,,1,1,,9,22,1,1,0.4000,0.3500,0.4500,,,40,100,0,0,0,0,1,2019-11-12 15:52:00,,,,2019-11-12 15:52:00,1,,,,,ES,
,,,ES0010,ESSSD010,,1,1,,9,22,1,1,0.4500,0.4000,0.5000,,,45,100,0,0,0,0,1,2019-11-12 15:52:00,,,,2019-11-12 15:52:00,1,,,,,ES,
,,,ES0011,ESSSD011,,1,1,,9,22,1,1,0.5000,0.4500,0.6000,,,50,100,0,0,0,0,1,2019-11-12 15:52:00,,,,2019-11-12 15:52:00,1,,,,,ES,
,,,ES0012,ESSSD012,,1,1,,9,22,1,1,0.6000,0.5000,0.7000,,,60,100,0,0,0,0,1,2019-11-12 15:52:00,,,,2019-11-12 15:52:00,1,,,,,ES,
,,,ES0013,ESSSD013,,1,1,,9,22,1,1,0.7000,0.6000,0.7500,,,70,100,0,0,0,0,1,2019-11-12 15:52:00,,,,2019-11-12 15:52:00,1,,,,,ES,
,,,ES0014,ESSSD014,,1,1,,9,22,1,1,0.7500,0.7000,0.8000,,,75,100,0,0,0,0,1,2019-11-12 15:52:00,,,,2019-11-12 15:52:00,1,,,,,ES,
,,,ES0015,ESSSD015,,1,1,,9,22,1,1,0.8000,0.7500,0.9000,,,80,100,0,0,0,0,1,2019-11-12 15:52:00,,,,2019-11-12 15:52:00,1,,,,,ES,
,,,ES0016,ESSSD016,,1,1,,9,22,1,1,0.9000,0.8000,1.0000,,,90,100,0,0,0,0,1,2019-11-12 15:52:00,,,,2019-11-12 15:52:00,1,,,,,ES,
,,,ES0017,ESSSD017,,1,1,,9,51,1,1,0.0300,0.0000,0.0300,,,3,100,0,0,0,0,1,2019-11-12 15:52:00,,,,2019-11-12 15:52:00,1,,,,,ES,
